artifactToMarkAssignmentId,uuid,uri
212,['22a5e620-f9db-441d-9c84-8b2952ed417d'],https://ngk.wisski.cloud/contents/67b6419f73122
213,['8e5cc33b-c7bd-4716-a5f4-52a4b28bfaca'],https://ngk.wisski.cloud/contents/67b6419fa75ce
214,['8e5cc33b-c7bd-4716-a5f4-52a4b28bfaca'],https://ngk.wisski.cloud/contents/67b6419fd9e7b
215,['f3c705d8-e86f-4d4c-b868-d59f196826ec'],https://ngk.wisski.cloud/contents/67b641a01689c
216,['f3c705d8-e86f-4d4c-b868-d59f196826ec'],https://ngk.wisski.cloud/contents/67b641a053524
217,['101eea9d-be31-41b8-9d5a-53cfc9a2d7b0'],https://ngk.wisski.cloud/contents/67b641a08d02b
218,['101eea9d-be31-41b8-9d5a-53cfc9a2d7b0'],https://ngk.wisski.cloud/contents/67b641a0c12ef
219,['0e1fa52b-e1d1-4916-99f5-76a16ffab148'],https://ngk.wisski.cloud/contents/67b641a1049e4
220,['0e1fa52b-e1d1-4916-99f5-76a16ffab148'],https://ngk.wisski.cloud/contents/67b641a133b28
221,['ce6f2ab0-cc94-4764-99f0-ee0b80f7ffb1'],https://ngk.wisski.cloud/contents/67b641a16d331
222,['ce6f2ab0-cc94-4764-99f0-ee0b80f7ffb1'],https://ngk.wisski.cloud/contents/67b641a1a4fd8
223,['73e7adb2-6a7d-493b-8c52-f24d230575ea'],https://ngk.wisski.cloud/contents/67b641a1d47db
224,['73e7adb2-6a7d-493b-8c52-f24d230575ea'],https://ngk.wisski.cloud/contents/67b641a21750d
225,['0295f3fd-5db5-4a74-806b-25e63994c9f5'],https://ngk.wisski.cloud/contents/67b641a24c2b3
226,['0295f3fd-5db5-4a74-806b-25e63994c9f5'],https://ngk.wisski.cloud/contents/67b641a285c31
227,['58c193c8-fa1a-4f2e-a4c2-72555d98fc69'],https://ngk.wisski.cloud/contents/67b641a2b7a3b
228,['58c193c8-fa1a-4f2e-a4c2-72555d98fc69'],https://ngk.wisski.cloud/contents/67b641a2ecdc6
229,['7fa7aaa1-d823-4a77-90eb-3278e8c52ced'],https://ngk.wisski.cloud/contents/67b641a32b2bd
230,['7fa7aaa1-d823-4a77-90eb-3278e8c52ced'],https://ngk.wisski.cloud/contents/67b641a35d7aa
231,['75c5c6e5-9a93-4f58-93bd-584626feeb52'],https://ngk.wisski.cloud/contents/67b641a393ec1
232,['75c5c6e5-9a93-4f58-93bd-584626feeb52'],https://ngk.wisski.cloud/contents/67b641a3cc526
233,['662e167c-7f85-48d9-92ea-81306aaa8161'],https://ngk.wisski.cloud/contents/67b641a40c65f
234,['662e167c-7f85-48d9-92ea-81306aaa8161'],https://ngk.wisski.cloud/contents/67b641a441ee0
235,['929f69b4-d576-4a09-a50f-0128ea7ff427'],https://ngk.wisski.cloud/contents/67b641a478e16
236,['929f69b4-d576-4a09-a50f-0128ea7ff427'],https://ngk.wisski.cloud/contents/67b641a4ac918
237,['929f69b4-d576-4a09-a50f-0128ea7ff427'],https://ngk.wisski.cloud/contents/67b641a4e051a
238,['e636e71d-c075-469a-9c7b-4a6bf79aae32'],https://ngk.wisski.cloud/contents/67b641a52506a
239,['e636e71d-c075-469a-9c7b-4a6bf79aae32'],https://ngk.wisski.cloud/contents/67b641a55bdf6
240,['11c3b796-bb82-4d13-917b-75db2a21f3ff'],https://ngk.wisski.cloud/contents/67b641a58bd37
241,['11c3b796-bb82-4d13-917b-75db2a21f3ff'],https://ngk.wisski.cloud/contents/67b641a5c67ee
242,['739b54ed-3ed0-4401-871c-2aa6781140d3'],https://ngk.wisski.cloud/contents/67b641a609ac3
243,['739b54ed-3ed0-4401-871c-2aa6781140d3'],https://ngk.wisski.cloud/contents/67b641a648854
244,['a265a249-acd8-4723-8bae-715239a5c34f'],https://ngk.wisski.cloud/contents/67b641a687259
